	FD21772346	FD21772351	FD21772506	FD21772802	FD21772908	FD21773044	FD21773140	FD21773336	FD21773537	FD21773545	FD21773644	FD21773746	FD21773934	FD21774007	FD21774233	FD21774611	FD21774623	FD21774695	FD21771986	FD21772292	FD21772392	FD21772806	FD21772808	FD21772863	FD21772902	FD21773104	FD21773752	FD21773841	FD21773858	FD21774370	FD21774498	FD21774545	FD21774760	FD21773450	FD21773744	FD21774168	FD21774818
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	0	0	213.0457395	1129.373174	44.40864373	0	345.8415304	1699.988789	886.3155073	0	0	0	2365.529531	0	0	0	0	0	0	13.4473845	0	0	4802.794495	0	0	0	2170.81927	132.278057	0	344.2925035	0	0	0	501.1748633	0	124.2095264	0
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0	437.8454835	0	795.4682046	0	0	482.8249223	2016.278757	1997.308671	18.28947426	0	0	28.12490583	0	0	0	29.05005255	0	0	0	0	0	1569.311807	0	108.9912919	0	1046.704694	418.0192115	0	597.6920736	0	103.9999916	0	294.815249	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	0	143.8643312	3011.255365	0	0	128.6742569	758.7017543	63.47677265	0	0	0	955.3957521	0	0	0	0	0	0	0	0	0	885.0394806	0	0	0	1692.485342	0	0	237.3348029	0	0	0	414.355553	0	284.4804839	0
PWY-7664: oleate biosynthesis IV (anaerobic)	0	345.2789913	471.4545244	525.0277518	44.70497256	142.6937685	732.5226571	735.8875428	878.9978835	0	0	0	2288.138425	0	0	0	0	0	0	0	0	0	1961.593106	0	32.17841553	0	1515.192647	1536.311005	0	479.6775608	0	0	0	684.4361962	0	0	0
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0	374.0409379	0	1306.971577	0	0	359.3391855	1422.866308	1107.401959	0	0	0	1524.790026	0	0	0	0	0	0	0	0	0	3881.93423	0	136.8719295	0	2823.423817	555.8198112	0	1191.269096	0	0	0	0	0	464.6340188	0
PWY0-1296: purine ribonucleosides degradation	0	0	105.1308194	5096.31398	0	311.011207	742.9216778	742.5666304	5312.175933	0	0	0	135.8496395	0	0	0	18.23898109	0	0	0	0	0	279.0118896	0	88.328609	0	0	0	0	1289.400636	0	0	0	0	0	148.6696808	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0	299.6877746	509.1740056	621.3768478	45.15704711	188.9191358	798.1852967	816.525098	976.2924983	0	0	0	2381.805307	0	0	0	0	0	0	0	0	0	2048.567979	0	39.15973158	0	1624.240357	1334.678575	0	527.2096815	0	0	0	726.9316717	0	167.3218565	0
PWY-5695: inosine 5'-phosphate degradation	0	471.1776756	459.4326731	1097.446779	0	0	507.2653805	1513.762226	1143.577222	0	21.57668898	0	1692.216253	0	0	0	0	0	0	0	0	0	1191.633549	0	160.7743012	0	2337.883654	355.842855	0	1868.705926	0	0	0	289.0246666	0	379.2887058	0
PWY-3841: folate transformations II (plants)	0	224.9442541	510.4847754	1728.954469	0	0	398.9912359	1686.129907	1152.398889	0	0	0	2400.06484	0	0	0	0	0	0	0	77.13742484	28.91416293	2197.477086	0	244.6182501	0	3105.661131	513.417799	0	380.211098	0	0	0	246.6129585	0	0	0
PWY0-862: (5Z)-dodecenoate biosynthesis I	0	1658.322489	429.0736361	435.0782631	44.11610127	107.5923572	660.1167342	650.2634655	775.8992478	0	0	0	2174.138205	0	0	0	0	0	0	0	0	0	1856.499339	0	25.99847605	0	1390.701383	9373.830369	0	447.4241067	0	0	0	634.9454234	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I	0	587.9385057	391.6447141	1819.204228	0	0	432.7446594	694.3095664	1008.809724	95.01735673	728.8184909	0	2601.818918	0	0	0	0	0	0	0	0	0	2092.165685	0	210.6892202	0	2128.383801	1392.916028	0	823.7276793	0	0	0	298.9610423	12.81049662	992.1334691	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0	875.9414023	0	930.583892	0	0	637.4760587	2633.943613	2644.462382	41.12363699	0	0	32.82064953	0	0	0	77.95419601	0	0	0	350.8005073	0	1612.552394	0	194.2677107	0	1276.349196	1640.087795	0	301.4264602	0	0	0	369.6605904	0	0	0
PWY-7199: pyrimidine deoxyribonucleosides salvage	0	387.4238445	190.1629309	3093.68364	0	0	370.5161711	1031.688975	2217.986052	0	0	0	1669.48544	0	0	0	0	0	0	0	92.56404653	0	1608.471056	0	50.09751459	0	2045.393021	302.346427	0	395.3434743	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0	1471.925117	336.1116291	1601.388671	28.27481909	0	644.8396216	977.9568368	2824.668187	54.53916439	1461.956736	0	1231.303442	0	0	0	0	0	0	0	95.22367254	0	502.7921152	0	258.5754382	48.57679528	916.1746364	4037.007088	0	2453.975033	0	0	0	464.8596052	28.72117327	690.5313078	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	0	437.5728898	666.6972344	849.8681678	49.19834727	0	963.0107217	1996.961119	792.9329406	85.04614996	186.871311	0	4173.2389	0	0	0	0	0	0	104.352231	0	0	2258.986886	0	416.9883853	0	2625.624885	1625.988749	0	2412.77492	0	0	0	640.8008899	12.42467907	0	0
VALSYN-PWY: L-valine biosynthesis	0	1840.119862	198.7601728	5850.509334	76.48108941	0	173.6079676	549.3294581	2449.848175	0	1023.27357	0	626.6877506	0	0	0	42.41665301	0	0	72.04661414	0	24.24875233	1023.779058	0	154.6568269	0	254.4805348	2984.291638	0	2938.898206	0	11.57565283	0	0	125.4842275	0	0
PWY-5973: cis-vaccenate biosynthesis	0	84.36479213	695.1669986	836.8188692	0	139.0182877	783.5152051	557.1851374	1891.228994	0	0	0	3294.720922	0	0	0	0	0	0	0	0	0	2886.340573	0	32.12840905	0	3483.564988	136.2700059	0	376.3699312	0	16.13980376	0	810.5314609	0	0	0
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0	1036.775591	629.0016456	1853.906322	30.50932488	0	714.937957	1090.432052	3242.465429	66.93019406	0	0	2018.745285	0	0	0	0	0	0	0	123.084571	0	1019.415294	0	329.9909664	0	1374.377104	2401.207038	0	2286.872173	0	0	0	603.9946367	34.96949769	597.4158097	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0	191.7590876	149.6473631	3074.347632	0	0	233.9196842	610.435349	2948.717727	0	0	0	865.4047064	0	0	0	127.8412577	0	0	0	0	0	783.2313983	0	211.2999814	0	1587.693234	537.9899627	0	1018.187309	0	0	0	546.8161035	0	478.4591584	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	1682.505378	5786.024657	0	0	114.253162	0	3679.611827	0	0	0	71.7809712	0	0	0	0	0	0	0	0	0	380.6433758	0	0	0	377.7679886	0	0	14.77096992	0	0	0	948.512409	0	667.9497255	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0	184.807713	337.9190613	2421.37207	0	0	471.1853246	1573.114666	1899.126835	0	0	0	2240.071615	0	0	0	0	0	0	0	0	0	3784.70628	0	154.9920359	0	3091.885279	563.2156114	0	1197.773079	0	0	0	374.0613456	0	381.507293	0
PWY-6609: adenine and adenosine salvage III	0	426.6237403	0	3921.404653	0	0	306.8159815	2962.816229	353.5931694	0	673.3233415	0	1586.447066	0	0	0	12.74461153	0	0	0	0	0	839.239239	0	115.6522427	0	2124.890633	236.4295071	0	1278.733232	0	8.333333333	0	124.2290906	0	265.1850778	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0	357.9228061	302.1265513	2805.565038	0	0	428.0226956	2505.710956	2065.63294	0	0	0	1992.628458	0	0	0	0	0	0	0	0	0	3675.464845	0	158.1248183	0	3624.803361	557.6004055	0	1187.593622	0	0	0	515.7462746	0	568.3450572	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	873.4555794	1415.546065	0	0	838.5318057	2208.689978	339.0420666	43.58822698	0	0	1747.110977	0	0	0	0	0	0	0	0	0	4631.942272	0	175.794536	0	4514.591877	0	0	985.2552556	0	0	0	1360.450252	0	0	0
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"	0	0	289.8310877	2956.944989	0	0	377.6963232	3128.4117	25.68937305	0	0	0	2118.201576	0	0	0	0	0	0	297.1643755	115.6589712	0	3075.325466	0	0	0	2494.189359	0	0	869.4307056	0	0	0	978.1219304	0	1046.741974	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0	404.2030821	324.2469945	2916.072785	0	0	476.2480341	2869.839267	2206.824537	0	0	0	1889.607492	0	0	0	0	0	0	0	0	0	3711.00905	0	189.1203893	0	3913.583111	619.8989705	0	1294.85019	0	0	0	556.3760405	0	482.6357435	0
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0	973.551398	0	1401.514228	0	0	726.2946563	3095.867393	3385.001339	57.74120006	0	0	56.04772099	0	0	0	67.47537081	0	0	0	371.1857035	0	2191.094681	0	253.9232592	0	1922.820283	1938.246197	0	289.8995979	0	0	0	530.9610858	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0	170.2935288	171.7797388	3104.033042	0	0	357.9845534	2955.481379	3142.944688	0	0	0	1526.264813	0	0	0	0	0	0	0	0	0	3063.127167	0	161.9448172	0	3930.736877	0	0	1117.624384	0	0	0	632.1467383	0	692.3240968	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0	26.18388989	492.3724903	1140.301063	55.84272456	0	345.8415304	3770.663618	886.3155073	75.09146475	290.8676104	0	4228.794775	0	0	0	0	0	0	13.4473845	0	0	4802.794495	0	245.3908835	0	3108.021484	383.3880099	0	344.2925035	0	0	0	1362.618556	0	1270.54999	0
TRNA-CHARGING-PWY: tRNA charging	0	573.2666194	682.8752836	3857.954566	38.94233692	0	865.0348365	2286.453633	2427.843463	0	564.377938	0	2940.925962	0	0	0	0	0	0	0	0	0	3586.884072	0	259.9560197	0	3743.539788	1597.054834	0	969.6763629	0	0	0	809.4306481	0	0	0
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0	342.1710396	144.2537462	2227.386428	0	0	478.7574195	1792.127336	1891.103897	18.15143659	0	0	3681.978125	0	0	0	19.49106295	0	0	0	0	0	4885.701891	0	100.0464134	0	3121.061222	796.6612631	0	551.0505682	0	101.332993	0	456.495742	0	1997.489627	0
