"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"26","GO:0010518","positive regulation of phospholipase activity","1/6","13/21273",0.0769230769230769,272.730769230769,16.4609742706358,0.00366145217231473,0.0475450549498617,0.017578178799313,"ENSG00000137055",1,"C1"
"27","GO:0022605","mammalian oogenesis stage","1/6","13/21273",0.0769230769230769,272.730769230769,16.4609742706358,0.00366145217231473,0.0475450549498617,0.017578178799313,"ENSG00000163661",1,"C1"
"28","GO:0034135","regulation of toll-like receptor 2 signaling pathway","1/6","13/21273",0.0769230769230769,272.730769230769,16.4609742706358,0.00366145217231473,0.0475450549498617,0.017578178799313,"ENSG00000198961",1,"C1"
"29","GO:0030100","regulation of endocytosis","2/6","350/21273",0.00571428571428571,20.26,6.10246081274508,0.00387556540479554,0.0475450549498617,0.017578178799313,"ENSG00000101336/ENSG00000163661",2,"C1"
"30","GO:0010992","ubiquitin recycling","1/6","14/21273",0.0714285714285714,253.25,15.8580743100406,0.00394263896850311,0.0475450549498617,0.017578178799313,"ENSG00000137055",1,"C1"
"31","GO:0061517","macrophage proliferation","1/6","14/21273",0.0714285714285714,253.25,15.8580743100406,0.00394263896850311,0.0475450549498617,0.017578178799313,"ENSG00000182578",1,"C1"
"32","GO:0001878","response to yeast","1/6","15/21273",0.0666666666666667,236.366666666667,15.3163773228445,0.004223759631102,0.0475450549498617,0.017578178799313,"ENSG00000163661",1,"C1"
"33","GO:0060837","blood vessel endothelial cell differentiation","1/6","15/21273",0.0666666666666667,236.366666666667,15.3163773228445,0.004223759631102,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"34","GO:1900044","regulation of protein K63-linked ubiquitination","1/6","15/21273",0.0666666666666667,236.366666666667,15.3163773228445,0.004223759631102,0.0475450549498617,0.017578178799313,"ENSG00000137055",1,"C1"
"35","GO:0051336","regulation of hydrolase activity","2/6","372/21273",0.00537634408602151,19.0618279569892,5.90304794134898,0.00436668822309589,0.0475450549498617,0.017578178799313,"ENSG00000137055/ENSG00000163661",2,"C1"
"36","GO:0042159","lipoprotein catabolic process","1/6","16/21273",0.0625,221.59375,14.826166754274,0.0045048141725551,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"37","GO:0032956","regulation of actin cytoskeleton organization","2/6","380/21273",0.00526315789473684,18.6605263157895,5.83474271171095,0.00455217944693117,0.0475450549498617,0.017578178799313,"ENSG00000101336/ENSG00000182578",2,"C1"
"38","GO:0002758","innate immune response-activating signaling pathway","2/6","385/21273",0.00519480519480519,18.4181818181818,5.79310535472805,0.00466997178144858,0.0475450549498617,0.017578178799313,"ENSG00000198961/ENSG00000101336",2,"C1"
"39","GO:0033189","response to vitamin A","1/6","17/21273",0.0588235294117647,208.558823529412,14.3797575008012,0.00478580260530548,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"40","GO:0070341","fat cell proliferation","1/6","17/21273",0.0588235294117647,208.558823529412,14.3797575008012,0.00478580260530548,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"41","GO:0034134","toll-like receptor 2 signaling pathway","1/6","18/21273",0.0555555555555556,196.972222222222,13.970980517845,0.00506672494179239,0.0475450549498617,0.017578178799313,"ENSG00000198961",1,"C1"
"42","GO:0044793","negative regulation by host of viral process","1/6","18/21273",0.0555555555555556,196.972222222222,13.970980517845,0.00506672494179239,0.0475450549498617,0.017578178799313,"ENSG00000163661",1,"C1"
"43","GO:2001224","positive regulation of neuron migration","1/6","18/21273",0.0555555555555556,196.972222222222,13.970980517845,0.00506672494179239,0.0475450549498617,0.017578178799313,"ENSG00000137055",1,"C1"
"44","GO:0002218","activation of innate immune response","2/6","409/21273",0.00488997555012225,17.3374083129584,5.60367193951322,0.00525519621027542,0.0475450549498617,0.017578178799313,"ENSG00000198961/ENSG00000101336",2,"C1"
"45","GO:0050862","positive regulation of T cell receptor signaling pathway","1/6","19/21273",0.0526315789473684,186.605263157895,13.5948187367371,0.00534758119445489,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"46","GO:0045472","response to ether","1/6","20/21273",0.05,177.275,13.2471444469302,0.0056283713757308,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"47","GO:0032970","regulation of actin filament-based process","2/6","426/21273",0.00469483568075117,16.6455399061033,5.47898665725146,0.0056894576005889,0.0475450549498617,0.017578178799313,"ENSG00000101336/ENSG00000182578",2,"C1"
"48","GO:0032496","response to lipopolysaccharide","2/6","433/21273",0.0046189376443418,16.3764434180139,5.42972278422644,0.00587299540716914,0.0475450549498617,0.017578178799313,"ENSG00000101336/ENSG00000137055",2,"C1"
"49","GO:0008228","opsonization","1/6","21/21273",0.0476190476190476,168.833333333333,12.9245263331012,0.00590909549805452,0.0475450549498617,0.017578178799313,"ENSG00000163661",1,"C1"
"50","GO:0010517","regulation of phospholipase activity","1/6","21/21273",0.0476190476190476,168.833333333333,12.9245263331012,0.00590909549805452,0.0475450549498617,0.017578178799313,"ENSG00000137055",1,"C1"
"51","GO:0010759","positive regulation of macrophage chemotaxis","1/6","21/21273",0.0476190476190476,168.833333333333,12.9245263331012,0.00590909549805452,0.0475450549498617,0.017578178799313,"ENSG00000182578",1,"C1"
"52","GO:0061098","positive regulation of protein tyrosine kinase activity","1/6","21/21273",0.0476190476190476,168.833333333333,12.9245263331012,0.00590909549805452,0.0475450549498617,0.017578178799313,"ENSG00000182578",1,"C1"
"53","GO:0010737","protein kinase A signaling","1/6","22/21273",0.0454545454545455,161.159090909091,12.6240853355474,0.00618975357385987,0.0475450549498617,0.017578178799313,"ENSG00000198961",1,"C1"
"54","GO:0044794","positive regulation by host of viral process","1/6","22/21273",0.0454545454545455,161.159090909091,12.6240853355474,0.00618975357385987,0.0475450549498617,0.017578178799313,"ENSG00000182578",1,"C1"
"55","GO:0045217","cell-cell junction maintenance","1/6","22/21273",0.0454545454545455,161.159090909091,12.6240853355474,0.00618975357385987,0.0475450549498617,0.017578178799313,"ENSG00000182578",1,"C1"
"56","GO:0071801","regulation of podosome assembly","1/6","22/21273",0.0454545454545455,161.159090909091,12.6240853355474,0.00618975357385987,0.0475450549498617,0.017578178799313,"ENSG00000101336",1,"C1"
"57","GO:0140354","lipid import into cell","1/6","22/21273",0.0454545454545455,161.159090909091,12.6240853355474,0.00618975357385987,0.0475450549498617,0.017578178799313,"ENSG00000107798",1,"C1"
"58","GO:0006631","fatty acid metabolic process","2/6","448/21273",0.00446428571428571,15.828125,5.32794106473937,0.00627552179427705,0.0475450549498617,0.017578178799313,"ENSG00000107798/ENSG00000137055",2,"C1"
"59","GO:0070661","leukocyte proliferation","2/6","448/21273",0.00446428571428571,15.828125,5.32794106473937,0.00627552179427705,0.0475450549498617,0.017578178799313,"ENSG00000107798/ENSG00000182578",2,"C1"
"60","GO:0060193","positive regulation of lipase activity","1/6","23/21273",0.0434782608695652,154.152173913043,12.3433853752626,0.00647034561557791,0.047800087773343,0.0176724685750968,"ENSG00000137055",1,"C1"
"61","GO:0050900","leukocyte migration","2/6","457/21273",0.00437636761487965,15.5164113785558,5.26920868957192,0.00652305448361056,0.047800087773343,0.0176724685750968,"ENSG00000101336/ENSG00000182578",2,"C1"
