ID	Group	logFC	logCPM	F	PValue	FDR	
ENSG00000184304	C2	-2.002215911	9.677937994	3.999213829	0.045585737	1	PRKD1
ENSG00000167604	C2	-1.300849751	10.50857287	4.131621439	0.042151742	1	NFKBID
ENSG00000198961	C1	1.015312949	13.36111767	4.087979305	0.043252485	1	PJA2
ENSG00000101336	C1	1.163865193	12.87419894	4.623706519	0.031589902	1	HCK
ENSG00000107798	C1	1.606401878	10.13467988	5.198169763	0.022660558	1	LIPA
ENSG00000182578	C1	1.640667724	9.68141907	4.158151636	0.041497027	1	CSF1R
ENSG00000137055	C1	2.430375545	10.12390184	7.64051985	0.005732021	1	PLAA
ENSG00000163661	C1	3.560539141	9.736465745	10.0834555	0.001506882	0.703713893	PTX3
