	Host	TYPE	Lineage	FD21772173	FD21772179	FD21772189	FD21772205	FD21772244	FD21772261	FD21772298	FD21772337	FD21772351	FD21772578	FD21772697	FD21772699	FD21772702	FD21772766	FD21772802	FD21772880	FD21772908	FD21772934	FD21773059	FD21773106	FD21773116	FD21773174	FD21773221	FD21773259	FD21773309	FD21773313	FD21773369	FD21773537	FD21773589	FD21773630	FD21773653	FD21773675	FD21773737	FD21773746	FD21773783	FD21773819	FD21773832	FD21773841	FD21773846	FD21773847	FD21773965	FD21774021	FD21774042	FD21774045	FD21774113	FD21774123	FD21774318	FD21774401	FD21774408	FD21774415	FD21774498	FD21774517	FD21774522	FD21774524	FD21774545	FD21774702	FD21774708	FD21774709	FD21774719	FD21774760	FD21774779	FD21774818	FD21771986	FD21772050	FD21772081	FD21772250	FD21772292	FD21772346	FD21772347	FD21772392	FD21772426	FD21772472	FD21772506	FD21772806	FD21772808	FD21772863	FD21772902	FD21772906	FD21772910	FD21772976	FD21773016	FD21773025	FD21773044	FD21773104	FD21773140	FD21773306	FD21773308	FD21773335	FD21773336	FD21773352	FD21773450	FD21773461	FD21773511	FD21773545	FD21773644	FD21773669	FD21773744	FD21773752	FD21773775	FD21773858	FD21773873	FD21773934	FD21773988	FD21774007	FD21774037	FD21774064	FD21774070	FD21774163	FD21774168	FD21774169	FD21774233	FD21774370	FD21774444	FD21774492	FD21774523	FD21774611	FD21774623	FD21774626	FD21774642	FD21774681	FD21774695	FD21774821
NODE_135_length_846_cov_22.639900_g134_i0	species:Escherichia	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Lambdavirus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1620.247387	0	0	0	0	0	0	0	0	0	0	0
NODE_4677_length_800_cov_15.725699_g4663_i0	species:Priestia	-	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Donellivirus"	0	60.51327736	0	0	103.5185696	0	0	0	0	0	0	0	0	0	0.720736096	0	0	0	0	0	125.5136344	34.92000956	0	0	0	37.48526413	0	0	0	0	0	48.20610813	0	0	0	0	4.43077252	1.557494751	0	1.102338457	0	15.22322855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.28649268	0	0	0	0	0	0	0	0	0	0	0	0	0.470744793	0	0	0	0	0.409018766	0	0	0	39.7637604	0	55.90198395	480.408823	0	0.560972682	3.249242926	0	5.231729884	0	0	0	78.13438279	36.34627317	0	41.94305519	0	0	0	0	0	0	0	397.287718	0	0	3.706344818	2.579475355	0	0	0	0	0	0	0	0	0
NODE_212_length_1925_cov_186.477079_g206_i0	species:Acanthamoeba	-	"superkingdom:Viruses;clade:Varidnaviria;kingdom:Bamfordvirae;phylum:Nucleocytoviricota;class:Megaviricetes;order:Imitervirales;family:Mimiviridae;subfamily:Megamimivirinae;genus:Tupanvirus"	223.4698335	27.61136019	0	42.79983587	1.378868726	0	0	0	0	0	0	6.62647379	0	0	73.38403891	7.663274476	0	0	13.6700686	0	0	0	0	0	0	40.04197911	0	311.2158238	30.86152218	0	14.9848097	0	0	0	0	0	9.631729273	0	0	0	0	114.0041885	14.26674932	44.56477923	0	0	0	0	0	0	0	0	0.054561982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.195166853	0	28.1867575	0	0	0.395554523	5.687005151	0.793869271	33.82963233	0	0	0	0	0	0	0	1.137439405	0.018066911	0	0	0.241999931	0.211568795	0	1.340506149	0.09645248	0	0	0	4.022681336	0	0	548.3344592	0	0.947330439	0.085850649	0	0	0	0	10.87407379	0	0	0	0	3.08059829	0	0	0	0	0	4.148108763	0	0	0	0
NODE_546_length_1237_cov_47.244949_g545_i0	species:Acanthamoeba	-	"superkingdom:Viruses;clade:Varidnaviria;kingdom:Bamfordvirae;phylum:Nucleocytoviricota;class:Megaviricetes;order:Imitervirales;family:Mimiviridae;subfamily:Megamimivirinae;genus:Tupanvirus"	0	0.201729416	0	2.065253747	0	0	0	0	0	0	0	0	0	0	0	21.33333641	59.17630022	0	0	0	0	87.84385874	2.004710897	0	0	264.335142	0	0	0	0	30.12913604	40.17770293	0	0	0	0	5.951413869	0	0	0	0.328565347	57.10249028	0	0	0	0	0	0	0	0	0	0	0	0	39.95045464	0	16.44364576	0	0	0	0	0	0.943253	0	0	0	0	0	0	5.160445878	0	0	0.538611278	56.31836143	17.09803162	0	0	0	0	0	49.40825188	0	14.41738555	0	8.996942072	0	0	5.146818786	0	0	25.39569133	4.202739436	0	0	0	35.21268904	0.183806287	0.749726008	0	0	125.1122029	1.60319321	0	0	0	0	0	35.55025207	0	0	0	10.78645218	9.175175072	0	0	0	0	0	0	52.99073099	0	537.8635561
NODE_919_length_891_cov_9.988124_g911_i0	species:Pseudomonas	-	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Casadabanvirus"	0	0	0	1437.925388	22.04487655	0	0	0	0	0	0	0	0	0	41.09247329	2.759409534	0	0	0	0	0	0	0	0	0	26.6761326	0	0	10.85425342	0	0	0	0	0	0	0	7.956493862	0	0	0	0	0	0	67.72587232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.136482765	0	0	0	0	0	0	0	0	0	0	0	0	0.641363905	0	0	0	0	0	0	0	0.391450047	0	0	0	0	0.404555452	0	1.22802094	0	0	0	0	0	3.821887829	0	0	0	0	1.663903397	0	0	0	0	0	0	0	0	0	0
NODE_1659_length_592_cov_27.819521_g1655_i0	-	-	"superkingdom:Viruses;clade:Varidnaviria;kingdom:Bamfordvirae;phylum:Nucleocytoviricota;class:Megaviricetes"	0	12.96666497	0	101.1238097	0	0	10.75367117	0	59.9541382	0	0	41.06380823	0	0	0.418292079	3.21726666	0	35.97710988	30.66553649	0	0	1.411131277	2.468838055	0	122.3478004	3.069971609	247.2054077	2.131121604	18.30248156	0	11.31250406	13.71073661	0	2.468757536	0	0	11.07013733	2.934592705	0	38.41261629	6.872601177	10.52312339	206.4417975	7.614886872	0	0	0	0	0	15.57524864	105.1571408	0	0.511243464	0	1.711131958	0	2.336491587	107.9495589	121.6837717	1.809619354	0	0	0	0	0	0	0.079078665	0	0	0	0	0	0.602216639	0	0	0	0.459034587	0	0	0	25.79991629	0.791494487	0	0	0.074583995	31.50373142	0	10.54552075	3.659771415	0	0	0	0	0	0	0	0	0	1.029451457	0	1.488572217	9.019128445	0	89.83000465	0	0	0	0	40.94596776	0	0	0	51.03510209	0	0	0	0	0	0	0	0	0
NODE_206_length_1420_cov_16.301240_g189_i0	-	-	"superkingdom:Viruses;clade:Varidnaviria;kingdom:Bamfordvirae;phylum:Nucleocytoviricota;class:Megaviricetes"	13.49747199	7.380739507	0	55.32225755	12.71083918	4.71170358	28.64072008	2.726422356	37.77747426	15.99167409	0	35.93228745	12.3152614	0	0.203024253	2.077718784	0	21.6044727	44.73146538	8.621126657	3.721679301	1.591218331	2.4012413	0	56.49538909	3.910825678	170.2226912	2.109473454	23.35084056	0	12.40407172	6.502708497	0	23.95319071	0	2.335746892	2.49620987	4.319812094	45.58761709	29.18868026	1.144888266	8.919525461	103.4716088	1.42709105	22.47391301	13.70674904	14.34687221	13.87368256	29.5957442	85.90209223	29.98680835	0	0.147932134	64.8976922	3.954762516	2.775173894	1.455430468	25.44830728	65.81686155	24.72719465	27.36753624	4.77730794	0.551627187	0	87.15516443	0	0	0	0	0	0	0	0	0	0.736290458	0	0.486537132	0	0	0	8.818476916	0	0	0	0.044852253	9.451070784	0	8.390302838	10.47189687	0	0	0	0	0	6.963128981	0	0	0.013841855	0.923608967	0	1.934711554	6.016139761	0	132.8019363	0	0	0	0	16.71049793	0	0	0	76.96116414	0	0	0	0	0	0	0	0	19.6922311
NODE_720_length_1135_cov_16.093923_g719_i0	-	-	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	124.0001396	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288826302	0	0	181.4819453	10.78590295	10.95575975	30.58554867	0	0	0	87.67967801	0	0.211133202	619.5859229	2.400651945	0	0.2392808	0	0	0	0	0.480463303	0	0	0	0	11.58843125	0	0	0	0	0	0	0	0	0	0	0.185078088	0	0	0	0	0	11.16102503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538572104	0	1.791733485	0	0	0	0	0	0	0	1.348253202	151.884579	0	64.02870408	120.327034	0	34.69628393	0	0	0	0	0	0	60.62898812	35.46365169	0	58.69831895	0	0	0	0	0	3.617967978	0	0	0	0	5.224803267	0	0	0	0	0	0	0	0	0	0
NODE_6_length_3275_cov_68.964972_g5_i0	genus:Proteus	virulent	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Grimontviridae;genus:Privateervirus"	0	0	0	0	0	0	265.1155482	0	277.2786215	0	0	0	0	0	0	0	335.2721376	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714805622	0	0	0	0	0	0	97.98224172	0	148.7736177	0	0	0	0	0	0	0	0	0	0	27.97381464	0	0	0	8.230736277	0	0	0	0	0	0	0	0	0	0	0	23.09847321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.25822707	0	0	0	0.116326766	0	0	0	48.4482326	0	0	0	0.212996636	198.5626168	32.80711582	0	2.265431626	0	2.922237993	3.266723183	0	0	0	0	0	0	8.380397898	129.797117	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_915_length_2726_cov_117.937990_g908_i0	species:Chryseobacterium	-	"superkingdom:Viruses;clade:Varidnaviria;kingdom:Bamfordvirae;phylum:Nucleocytoviricota;class:Megaviricetes;order:Imitervirales;family:Mimiviridae"	0	7.506317543	0	6.79446512	0.584223543	0	0	0	0	0	0	0	0	0	0.634543885	30.06399969	10.74117144	0	16.643612	0	15.1671562	299.3768028	22.62865226	0	0	172.9164544	0	0.39558431	0	0	23.69180732	28.69262944	0	0	0	0	31.2072019	0	0	0	111.3746129	7.058753078	0	0	0	0	0	0	0	0	0	0	0	0	86.93513903	0	17.31769488	0	0	0	0	0	8.346543372	0	0	0	0	0	0	11.37396671	0	0	2.304438839	57.31858639	15.92106861	0	0	1.506639613	0	0	1.130440284	0	48.88550882	0	10.05344743	37.45414628	0	1.196239568	0	0	12.3060038	32.96580183	0	0.959598291	0	81.40289871	5.338069013	0.510314236	5.024738989	0	198.3271837	1.21249083	0	0	0	0	4.408918979	150.5647506	0	0	0	18.49093526	0	0	0	0	0	1.464620207	0	14.52131634	0	25.9190315
