	FD21772173	FD21772179	FD21772189	FD21772205	FD21772244	FD21772261	FD21772298	FD21772337	FD21772351	FD21772578	FD21772697	FD21772699	FD21772702	FD21772766	FD21772802	FD21772880	FD21772908	FD21772934	FD21773059	FD21773106	FD21773116	FD21773174	FD21773221	FD21773259	FD21773309	FD21773313	FD21773369	FD21773537	FD21773589	FD21773630	FD21773653	FD21773675	FD21773737	FD21773746	FD21773783	FD21773819	FD21773832	FD21773841	FD21773846	FD21773847	FD21773965	FD21774021	FD21774042	FD21774045	FD21774113	FD21774123	FD21774318	FD21774401	FD21774408	FD21774415	FD21774498	FD21774517	FD21774522	FD21774524	FD21774545	FD21774702	FD21774708	FD21774709	FD21774719	FD21774760	FD21774779	FD21774818	FD21771986	FD21772050	FD21772081	FD21772250	FD21772292	FD21772346	FD21772347	FD21772392	FD21772426	FD21772472	FD21772506	FD21772806	FD21772808	FD21772863	FD21772902	FD21772906	FD21772910	FD21772976	FD21773016	FD21773025	FD21773044	FD21773104	FD21773140	FD21773306	FD21773308	FD21773335	FD21773336	FD21773352	FD21773450	FD21773461	FD21773511	FD21773545	FD21773644	FD21773669	FD21773744	FD21773752	FD21773775	FD21773858	FD21773873	FD21773934	FD21773988	FD21774007	FD21774037	FD21774064	FD21774070	FD21774163	FD21774168	FD21774169	FD21774233	FD21774370	FD21774444	FD21774492	FD21774523	FD21774611	FD21774623	FD21774626	FD21774642	FD21774681	FD21774695	FD21774821
Prevotella_veroralis	0	6.065448229	0	18.97883562	3.262855853	0	0	0	0	29.31291878	0	0	0	0	11.25831832	119.8249885	51.12279983	0	17.89496085	19373.3587	8049.358543	127.9940655	163.0474636	1621.181009	0	69.21264686	0	38.45823398	151.5979052	0	14.08512642	14.24757964	6.091145588	0	0	0	94.80096633	2.659936115	0	38.55509579	24.88836523	0	0	1.985678455	0	0	0	0	0	0	4.050930765	0	0	0	51.78162603	0	1812.33373	0	39.16527409	44.70024215	0	0	2223.770205	0	0	0	0	0	0	7.344812419	0	0	51.93386344	143.3334323	1540.133432	0	0	72.38197084	0	0	52.97850756	0	28.38079767	0	2377.072591	20.69167996	0	7.660438255	2.645574252	0	208.8592984	4078.95738	13.65280742	634.3321574	7.074649365	26.09230553	2.56881634	133.8459812	16.86919513	34.07538271	560.3530863	319.1169745	0	0	0	0	163.7998716	55.7837941	0	0	0	8.657818684	0	0	0	0	0	73.01082906	0	148.281932	0	20.11375473
Prevotella_vespertina	0	0	0	10.12728777	0.40916986	0	0	0	0	0	0	0	0	0	0.518635309	0.76294072	20.6507022	0	0	264.6601357	66.65617808	3.125193387	36.89005237	0	0	1.66900518	0	5.072405294	0	0	0	2.695252599	0	0	0	0	0	0	0	46.00778469	0	0	0	0.45444685	0	0	0	0	0	0	0	0	0	0	0	0	457.2933625	0	3.40868885	26.20199865	0	0	0.237120259	0	0	0	0	0	0	0.274795799	0	8.496019669	0	0	950.9004819	0	0	0	0	0	0	0	0	0	22.65692045	12.37294881	0	3.145615453	0	0	99.48418741	31.12916444	0.879797052	21.35811374	0	1.362461222	1.296741521	0.45801172	0	0	1.586812146	3.851507828	0	0	0	0	0	0	0	0	0	0.822585675	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_uncl	1.562127216	1319.948048	20.25982277	749.1926073	1127.796624	0	75.7386446	0	285.0969593	407.8723413	45105.39076	66.5339092	0	163756.5843	196.10366	67568.38102	28742.61159	15084.76456	2282.696843	50719.14605	95215.71718	17860.52164	5998.88594	23.21924138	30920.33525	6488.834592	130.1722504	1646.103093	7983.727748	69738.411	5746.374088	20140.41099	418.2156776	11954.83711	104.4404997	0	46156.90585	466.3028775	40.12531674	2741.828352	10075.73462	2293.955941	42.33045716	271.7434222	888.820662	0	21363.79207	0	1794.549116	0	478.857855	1805.961455	45.02974857	445.4880923	97260.14558	641.907898	21993.15679	0	78524.18425	2166.939825	46.22252536	42.01673752	3920.878021	48.01054351	2033.6926	43.1905207	5848.680397	0	14336.10665	6545.051599	6.768799274	169.5422122	23411.51321	13723.95844	13455.8993	9599.575646	45576.46628	12978.27844	4.835554868	20.75821627	5945.408027	511.9595931	9810.306278	4207.685427	12257.75003	7707.747506	6.526047698	5740.893873	2139.883221	15.18581073	5218.358773	20517.76473	568.4034642	55810.2318	1225.734109	18190.32453	6890.028679	39881.85627	1662.054149	2938.518808	15388.24658	17254.54961	0	0	3.237316469	0	2541.699458	11402.50714	6286.417569	785.6822096	0	351.2427379	75599.87302	5649.527091	982.799483	5.659325956	1470.970699	779.7195675	0	2648.857613	2654.682277	7096.836392
Proteus_mirabilis	117.1351652	25.9823164	360.0239773	171.4339791	53.40843617	54.05560506	222.6909936	234.0332997	385.8345416	130.8974313	2334.100694	73.8606411	0	0	7.656168866	11.70425354	0	618.3853474	59.37471463	64.59995328	6613.534477	16.49376305	41.65116276	0	609.7045871	9.709033977	276.0634045	18.09263118	149.7052088	0	82.84776804	112.629834	141.1808721	373.8360866	24.79795986	85.04894518	49.40622094	58.27623902	76.17790436	43.72218778	191.6524112	44.35226259	89.04686401	3.302320669	500.0952944	265.4619012	328.711195	460.2333959	147.05733	843.8048947	968.2232897	452.6011934	18.66093665	78.46097435	0	14.40338814	128.2240044	492.3386797	444.9702222	212.2772658	321.7553158	55.50840263	32.11667067	490.9835538	544.9622784	80.48875328	195.2303933	437.8561708	0	74.28798522	86.72611487	140.8905035	60.54991366	99.24586637	11.09950611	0	15.54949343	0	0	0	12.45608155	135.91082	209.4108049	304.4705498	7.619561131	47.44769109	188.1355509	63.36518804	242.0252721	184.8352437	45.69327194	79.16524103	132.8725377	2.56495501	89.03733187	50.15522641	65.12959909	3.732874968	27.6987283	61.15548046	6.454136569	51.83280549	181.2273643	2404.141794	408.0524201	18.77760766	44.94174329	6.802952852	188.2795224	55.31959793	1028.115521	0	506.4301528	152.0997657	65.87796609	819.0173818	11.88732668	228.0841855	120.804975	80.69520847	290.2924403	39.78203764
Proteus_uncl	333.9805321	21.31236134	112.728768	41.14299519	9.575963039	87.57489879	21.55019319	67.7650957	45.11280957	50.12757761	531.7935377	13.07086272	35.66724953	172.8687593	1.293533163	3.199676188	0	64.45455163	28.52625872	26.55772405	54691.81026	36.42685985	41.06530852	0.272964823	166.4670107	0.943487541	100.5186891	26.55891648	80.86665695	66.07716397	26.8144156	29.07704219	352.9165301	71.82841183	29.58927162	0	10.82451119	28.64778518	50.02469192	84.74617305	173.1420138	19.23998084	241.897567	0.295433284	66.92801432	15.37834043	31.32063448	76.62036166	25.06401098	816.7300219	327.8610276	46.21560991	55.72981794	55.38052888	20.81735211	8.779949281	302.9172841	61.00848871	96.20605871	63.75861943	0.1211597	44.19479649	21.53402873	67.45736678	99.5288964	14.87751442	36.30614699	18.90006673	0	45.28208183	7.760046029	29.06057408	66.457497	47.72520362	8.614688362	11.2047357	21.30020358	39.7196257	0	0	62.96966163	6804.756056	90.76207936	26.2404051	10.86520021	23.18582643	19.43844426	9.523293712	10.57214409	27.02959809	39.62026442	9.908485775	49.84166631	13.12527187	42.79962955	16.9216735	57.15653817	3.947452045	11.48000047	188.9848126	6.2369132	13.37042192	26.38005017	774.1426691	49.20428936	8.165771365	58.31104705	285.6288556	54.49026376	202.9792148	113.7485367	1.205201749	122.9105547	56.98614196	0	52.47487742	512.8415792	110.3422458	94.51534986	23.4083345	34.46533074	9.011155371
Providencia_sp._PROV037	0	4.090378418	27.70070314	9.665361684	2.565681006	23.04208522	46.99475331	36.31250835	27.94343547	30.89048678	32.19290726	0	0	0	0	0.548245664	0	48.94535007	9.440409924	0	2.10099103	2.339002061	1.128377544	0	93.26070119	0.728029295	0	0.451394122	5.484738942	0	20.98603946	7.780704206	0	123.2807933	0	0	2.636266932	7.700050029	0	4.201394903	26.7538018	1.852024605	39.34798423	0.498677955	83.92164559	0	50.84004304	18.47595539	12.08768893	95.8400621	16.0858778	0	5.037645062	0	0	0	6.718589231	14.71136512	6.99752174	34.73503037	0	0	0.912697433	202.5701266	8.795724574	14.3500389	13.8744515	0	0	3.446189135	0	0	0.630341792	0	0.638470724	0	1.101893648	0	0	0	19.86037275	50.37276697	38.11008639	72.38678151	2.263374685	1.615514453	39.72583217	2.186301168	13.38262094	16.65664854	11.01256497	9.877877953	23.70493184	0	25.85890051	9.607084773	43.09818685	0.240399375	7.28245119	41.1224489	0.682164937	6.552191206	17.62184016	52.08120347	3.502187817	28.83074049	9.113426264	12.23746557	43.90387182	0	79.41467929	0.163660919	2.561981375	67.19857577	0	33.6966915	72.98402484	6.051458803	15.19405852	27.10268596	7.926539998	0
Pseudomonadota_uncl	1240.870588	23.86877046	446.3492205	323.3017015	134.1303286	433.1641996	34.94952357	140.4272784	70.86451812	389.5412098	6531.100131	58.64350438	221.7360454	4973.243075	8.309687358	3.140990784	1560.044189	149.3693545	22.45521613	21160.82624	135.9464784	161.5242774	1027.881419	9855.954099	1501.106926	24.24394431	307.7561754	9.374656564	117.8361882	6477.368866	42.7696281	42.34810362	235.8296183	345.8516573	229.9381141	263.3900476	69.96526439	329.1216356	2359.037086	140.7061827	992.3903042	72.41705583	386.7553333	83.4144626	69.34631171	161.5176282	101.6061907	317.5554833	155.8178651	900.8404275	146.8778881	1199.833794	1885.919174	245.1211094	5640.994186	503.3780427	104.9506187	316.064485	174.7672056	212.8677258	227.7271879	1460.754553	656.4023677	33.90722895	885.1385019	431.6222639	382.622473	105.8260186	26373.87212	54.04863038	1267.827833	346.2720651	30.47062374	3248.871487	18.69863377	6727.519181	142.0409781	40.89925843	12.93888705	1145.431887	1137.833856	505.2421248	31.69437629	56.55217305	58.3526286	52.26601327	650.7820651	63.25745178	30.33699852	116.6927229	166.2758697	277.3248243	18.18877304	67.39519484	61.55277719	680.5694555	458.4884607	1.721610104	10.48274712	192.5217262	10.72193862	8.392041772	66.25398887	2308.315492	718.5641214	647.9986144	100.910384	101065.0534	74.98218614	480.9745305	778.9058643	264.1152894	286.2213567	147.2497861	555.3522894	608.1199794	17443.18116	48.925497	146.8956829	177.6970958	127.7225683	425.4474365
Pseudomonas_aeruginosa	2295.329934	533.1088195	2958.577156	1813.485083	1738.868065	3798.516907	2292.797469	6894.3503	3229.586994	2928.80868	10606.84353	1557.054157	6280.953769	4937.800671	116.2674137	204.2143778	585.6214785	5126.722862	1466.811126	2002.116241	1189.944646	605.2992417	2004.405237	894.4473946	3837.594959	106.7661503	1872.068921	363.501012	2621.283536	3402.74148	1170.693272	942.2396415	4459.833281	2309.770109	5988.14312	2344.667568	1034.455949	1270.526024	3161.591972	1906.877846	3615.442155	705.7190912	4057.979271	116.0532441	3230.952083	4121.269959	2130.216124	5290.288238	3103.110889	10200.34668	3881.703843	10754.28877	1194.750629	2597.584829	680.2396038	3927.340225	1319.294689	3468.587064	3130.066719	2911.768233	3585.011757	4439.906522	969.7287827	2640.592239	5084.396211	5131.065755	2619.830024	7700.10082	6743.611677	2306.336895	506.8196479	3187.463963	348.1183054	767.6052481	153.7585139	7231.083212	1353.298406	24.77103911	1.870858562	2652.114247	1830.476196	2003.638734	2881.952886	3607.070587	276.6470042	1442.58328	7205.374383	541.9582919	1619.163094	3940.577998	694.0349325	680.6731685	2672.96785	141.7909876	2247.882874	629.1826253	1326.68815	62.16811016	311.1696583	2784.772063	89.79010104	368.1508259	3581.567816	11162.2309	9104.434431	2367.964522	1279.36129	3388.256191	2015.305365	4692.060939	4127.792892	294.7472736	7153.554156	1677.592394	371.3659964	5803.488414	18690.81043	2509.145412	2790.07771	2509.727151	3073.21439	2786.829487
Pseudomonas_sp._DCB_PUT	16.41996132	3.206343665	39.2917775	29.10681751	43.30723968	0	32.68865819	15.45213121	170.9014452	34.29101215	0	41.26477678	36.59859937	0	0.530924057	4.277093834	0	131.3572016	12.19505841	0	20.24734785	27.72677215	48.01606571	0	125.0251573	5.808744378	53.62232105	1.120481862	80.71512983	0	72.40162748	29.06267765	57.73118076	60.69741889	45.54286826	0	22.43631431	42.51306911	819.9554991	80.45224282	52.27620846	6.895836294	152.7873856	0	178.5566927	0	52.82735793	216.2079886	77.15546126	25.48937822	186.9226389	193.6374791	0	38.94393034	0	15.01535491	16.67734915	89.43079099	175.4033043	113.8853455	0	4.534881922	16.02075281	169.4767329	150.4630331	35.62066395	31.45585446	97.8157191	0	24.92987885	0	34.78931072	5.364610997	0	5.862777086	0	2.344454571	0	0	0	0	67.43664714	4.577395414	82.93084624	1.375911663	22.70677955	36.97883314	17.05625025	38.14994769	78.58363325	8.135760173	2.849730387	42.83059283	0	19.73695209	3.867141657	41.41212188	0	7.38574837	40.48256323	8.020976303	9.561981165	30.4632875	12.31234125	1792.076957	0	1.491559127	0	181.6222653	10.13453062	51.4248617	0	278.0022343	78.37537995	0	123.3155519	0	50.4852946	64.65556815	6.959603877	80.10864892	2.281880081
Pseudonocardia_sp._EV170527-09	0	3.935449269	0	42.07376207	2.447036798	9.156898027	70.3928747	51.94997582	95.45677719	6.404788035	0	4.5673067	0	0	0	2.033473802	0	79.571559	2.679719993	40.719285	7.465269046	5.045947881	4.484159316	0	206.099181	5.497042006	11.93015736	7.414518088	74.83392608	0	43.49181237	32.70694222	0	82.59748369	68.05104881	43.30626345	3.20457473	31.91686794	0	5.303528928	20.82990349	3.679962184	14.85500127	0	61.5699045	33.19565899	13.15594607	0	0	533.2142184	7.867703681	170.9718204	12.01172594	0.969846435	3.594904014	0	3.559946124	53.4516982	43.10250927	14.48252948	0	27.10443877	0.725409809	209.2586768	18.4557689	0	3.253981565	67.85915029	0	16.70804125	0	0	3.506959393	0	1.922987578	0	5.254695144	0	0	0	0	19.79315712	31.26689915	103.8005204	0	7.859680142	19.73374972	7.851681031	14.39924074	25.32614316	0.48626451	7.185582816	26.9151786	0	13.96271488	4.540139266	20.99459503	0.891654713	3.318496544	89.75911977	1.198510043	4.606781834	10.50434836	128.7813959	22.26824623	0	9.193457464	0	33.39289877	0	142.7029296	0	214.970547	31.93909992	0	12.8553852	0	14.42905639	0	0.742798349	3.149997832	0
