	FD21772173	FD21772179	FD21772189	FD21772205	FD21772244	FD21772261	FD21772298	FD21772337	FD21772351	FD21772578	FD21772697	FD21772699	FD21772702	FD21772766	FD21772802	FD21772880	FD21772908	FD21772934	FD21773059	FD21773106	FD21773116	FD21773174	FD21773221	FD21773259	FD21773309	FD21773313	FD21773369	FD21773537	FD21773589	FD21773630	FD21773653	FD21773675	FD21773737	FD21773746	FD21773783	FD21773819	FD21773832	FD21773841	FD21773846	FD21773847	FD21773965	FD21774021	FD21774042	FD21774045	FD21774113	FD21774123	FD21774318	FD21774401	FD21774408	FD21774415	FD21774498	FD21774517	FD21774522	FD21774524	FD21774545	FD21774702	FD21774708	FD21774709	FD21774719	FD21774760	FD21774779	FD21774818	FD21771986	FD21772050	FD21772081	FD21772250	FD21772292	FD21772346	FD21772347	FD21772392	FD21772426	FD21772472	FD21772506	FD21772806	FD21772808	FD21772863	FD21772902	FD21772906	FD21772910	FD21772976	FD21773016	FD21773025	FD21773044	FD21773104	FD21773140	FD21773306	FD21773308	FD21773335	FD21773336	FD21773352	FD21773450	FD21773461	FD21773511	FD21773545	FD21773644	FD21773669	FD21773744	FD21773752	FD21773775	FD21773858	FD21773873	FD21773934	FD21773988	FD21774007	FD21774037	FD21774064	FD21774070	FD21774163	FD21774168	FD21774169	FD21774233	FD21774370	FD21774444	FD21774492	FD21774523	FD21774611	FD21774623	FD21774626	FD21774642	FD21774681	FD21774695	FD21774821
Abiotrophia_defectiva	0	4.899545837	0	0	0	0	0	0	0	0	0	0	0	0	78.42506779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.41685136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia_uncl	0	1.100046836	0	0	18.50381682	0	0	0	0	16.27957142	0	0	0	0	619.5063749	0	0	0	0	0	0	0.832834139	0	0	0	7.042756152	0	0.125008443	0	0	0	0	0	0	0	0	69.93395422	0	0	0	0	0	0	94.66652846	0	0	0	0	0	0	0	0	1.046338665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.61804606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.660486178	0	0	0	0	0	0.049040075	0	6.35132378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.9379681	0	0.438206699	0	0
Acinetobacter_baumannii	172.1196431	59.35592159	283.4037278	251.1963997	61.54136297	366.9845968	208.0931472	152.9313125	527.0341461	235.5259205	197.1167436	126.5564063	112.1270999	66.70728505	2.961949551	15.26367719	0	570.5442618	194.6484939	59.7936238	116.9761671	84.65519018	243.3970436	34.96116886	535.6647467	15.42775996	216.0643801	31.86369907	379.563323	84.54411508	133.2486866	146.4289593	260.5406656	242.2498855	141.5654356	64.94658658	57.15423229	241.7991181	215.8529194	178.9715305	238.4763032	85.20065821	589.2136887	5.360198127	272.5177058	117.6124045	242.2471324	995.1329081	78.19288505	1241.727481	685.4816997	851.4927296	198.3234986	312.6484237	15.83664877	44.47731336	113.5541834	597.7074513	408.501259	329.1960758	225.3116258	306.6066603	74.41820381	329.8997913	1149.392174	52.56153826	168.3805308	367.0319215	264.0965669	134.7231344	309.9284166	207.2790538	49.22019689	54.63170563	24.65069792	10.65490119	79.61114359	0	0	233.3399706	49.04358341	138.0805049	99.54280483	301.7335821	34.38969859	168.0161008	47.35166077	55.87107891	159.9107107	180.375089	71.57964197	51.79777831	243.7741919	6.656636558	259.1410302	98.53371013	184.527363	7.420266039	28.78848492	255.3357858	9.731390834	38.69155503	141.9975835	2164.970852	400.7493974	137.4032612	335.0682924	216.6227125	287.0124699	272.4011292	365.7718765	0.191010092	1239.71519	56.4692365	0	1388.121763	371.8842814	163.0562587	17.73311869	451.0742973	357.1299819	154.5164896
Acinetobacter_uncl	0	0	0	0	0	0	0	0	0	51.87128723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.5514288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae_uncl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698768497	0	0	0	43.01925531	0	0	0	0	9.244420367	0	0	0	0.173175712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetes_uncl	0	57.69518941	0	148.8410978	218.0478454	0	0	0	0	0	0	0	0	0	598.2308037	1.143434554	185.7001161	0	0	50.7707121	0	2.414170553	497.7114674	0	0	70.51909237	0	3.578620064	0	0	980.500527	0	0	0	0	0	13.83060736	0	0	9.151111277	0	68.07980388	0	215.951937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.2569705	0	0	0	0	0	18.84098326	1819.516794	45.72352526	25.23769414	0	40.64340619	65.163917	0	0	0	0	0	0	6.649684283	3.547076597	0	3.340738641	5.412396033	0	3.315222076	0.337605548	8.047205338	19.94679887	0	15.44966579	0	2.606695075	0	889.7811384	0.956809862	0	0	0	0	0	176.1037799	8.973393637	0	0	0	0.921243731	11.60640211	0	0	0	3.757221356	0	0	6.885363164	0	27.95048844
Aequorivita_sp._609	153.5136369	2.319999074	72.28357439	28.53271758	48.56065109	112.7760533	10.61815438	42.72706244	36.47591418	7.872314956	53.9936783	54.84108543	67.44146542	0	21.25277921	3.758659963	0	86.02931098	11.22216493	0	20.81040498	10.7968619	19.88605786	0	103.8612025	6.23426626	13.96945262	0.147646011	78.72875786	0	26.69085026	14.55506725	495.1034434	31.91251059	41.94613989	0	14.57042964	17.17753015	1173.778027	11.85504621	32.0699294	0.726125063	47.21258716	0.278999792	25.33831336	32.71421061	27.79274796	343.7424154	47.33964811	234.2764498	110.8346642	364.5082729	0	39.43391734	0	121.5358062	24.93887724	61.72108005	40.69132768	94.74099809	41.41965194	95.98456766	21.4526334	18.90302912	115.0764964	538.5849631	51.67284506	154.2982252	0	27.33715088	0	187.5243558	15.42213673	6.75329998	9.604457467	53.61714932	15.09911166	0	0	0	0	19.396493	192.5919366	74.32690382	1.263492593	9.299300542	87.55722324	3.249983238	15.40424703	66.6482632	17.97178456	34.43134013	42.71639468	2.798340747	85.01283785	7.115929091	34.03280357	1.569147731	7.608255251	36.05596937	3.092177963	7.401023743	103.4816089	2148.59158	507.3930852	82.46381321	15.1002025	50.09984353	38.07944364	596.7359487	392.2407024	0	74.87228904	17.91889877	0	350.9940732	189.308477	26.5110386	89.39033908	18.30470429	40.71387782	196.4650716
Aggregatibacter_uncl	0	1.783266258	0	0	0	0	60.08040982	0	71.31145094	0	0	0	0	0	34.9474468	1.557883499	0	6.087730108	1.292241279	43.08523733	11.72777719	61.19733931	0	0	1.636975056	1.057436917	0	0	204.6358956	0	0.379831568	277.1660526	0	0	0	0	21.44099185	129.5948416	0	29.44739013	1884.464685	0	311.1348213	0	175.0261839	0	1160.072738	0	70.2277702	5521.771184	78.63927299	0	0	0	0	0	0	0	0	0	0	0	0.839437438	0	0	0	151.4916602	0	0	0	0	198.946485	0	129.1656861	11.9135148	0	0	0	0	0	2.136777194	34.97208035	4.761596437	0	0	52.62634072	27.24340111	0	0	155.4140679	3.239736998	73.24453814	9.389176889	8.197578339	160.812945	36.56577652	0	3.686123127	1.723702303	0	437.4332018	0	0	0	0	0	0	7.106542144	48.20326755	0	86.01953596	0	0	0	0	0	1.816426701	0	0	0.895499055	164.7149013	0
Alloprevotella_rava	0	26.06212875	0	0	1.6107004	0	0	0	0	0	0	0	3.738552496	0	0.487112222	0	0	0	0.28917992	555.3367547	82.02497603	103.9321047	0	0	90.21479562	15.85992412	13.48772417	0	172.608338	0	0	3.923695313	0	0	0	0	0	0	0	45.21244329	0	0	0	0	0	0	0	0	0	0	1.061296481	0	0	0	5.937168443	0	0	0	0	0	0	0	0	0	0	0	1.901049764	0	0	0	0	0	12.51698591	39.65496291	0	0	1.937782595	2.477423285	0	0	11.58653409	0	0	75.09387045	0	7.34865737	0	230.2739884	6.820766404	0	5.597318447	0	41.13268344	62.61225988	0	47.09937457	246.6460816	42.01320031	3.765937522	0	4.682062785	10.43520465	0	0	0	0	2.078533877	0	76.81278546	0	0	0	52.89482014	0	0	0	0	0	0	1.556177041	0	0
Alloprevotella_sp._Lung230	0	111.0444216	0	0	0	0	0	0	0	0	421.2227666	0	3.624507043	1006.186186	10.53948075	266.1268323	123.3607431	303.6289701	328.680462	2560.474117	162.2976718	713.4582756	116.9394608	0	24.45537788	115.3063499	1.050608168	103.0405364	2717.620216	0	447.5930418	505.8034762	3431.134354	23.05102678	0	0	606.41312	0	0	26.25614137	925.285782	928.829933	226.634412	7.849269765	0	0	0	0	0	0	4.310736632	0	0	41.06688494	734.6593639	0	421.0307834	0	1468.478565	0	26.95868676	0	1.300475617	13.86244197	0	0	4.357422174	0	0	2.084459928	0	25.94369789	11463.41749	281.6021629	55.59081252	302.1565379	112.2327961	323.8137946	0	0	1051.407307	429.8728993	2086.383847	0	43.44892277	322.9532619	0	61.51957075	10.5325006	0	7811.824465	451.8210604	78.03895214	74159.49032	0	208.2632806	5.534235279	7465.624782	0	11423.13694	71.52226236	0	0	0	0	0	1485.087347	200.1467021	2.714463204	0	0	0.416247425	76.34299507	199.5229307	0	0	34.89149291	9.251706893	0	169.1446693	446.428658	0.134611137
Alloprevotella_sp._OH1205_COT-284	0	157.748729	0	0.354618231	8.492324724	0	0	0	0	0	0	0	0	1173.418602	8.845129895	340.0866472	54.0678069	1111.449662	435.412534	1916.612422	88.39074326	351.2418292	123.1385343	0	19.01161926	232.9133534	0	104.4979198	0	0	532.1172519	351.4400162	0	0	0	0	18.40391496	0	0	18.21142734	137.7120949	731.7620769	18.57934464	18.08383555	0	0	1.409820315	0	1194.432907	0	3.609630267	0	0	297.4738759	449.0376177	0	724.8844921	0	198.5651391	0	0	0	8.162334767	0	0	0	23.91433618	0	0	25.47786422	0	0	6572.875162	553.8987097	162.3598973	63.66165595	44.40275942	59.9149742	0	0	195.3199549	393.5621777	1427.946595	0	66.98403079	173.416713	0	4.597422958	0.622301825	0	5999.690094	121.3939719	91.42127222	94.29047357	2.306793231	328.4141142	13.79499368	6.002468061	3.808761683	1253.541	148.6189303	10.21688351	0	0	0	0	377.6151985	191.9082225	0	0	0	1.126312102	1.319278612	339.8013923	0	0	77.54471347	0	0	151.0287374	113.6735803	118.0188731
Alloprevotella_sp._oral_taxon_473	0	6124.71653	0	0.912511349	33.08727316	0	0.693249499	0	4.707292436	16.48391751	198.1554548	3.306042088	0	3237.295102	51.45944453	24754.78053	124.0208239	2229.532523	1333.874278	3789.171601	446.7982606	8753.802773	342.0761408	563.7470912	238.8659813	888.436788	0	727.0754716	1588.407472	77.73717441	1568.579421	23011.46654	769.7549559	40.85358781	0	0	35138.62146	0.91773537	1.297107941	37.52189817	8279.881897	3182.906015	1379.064312	26.54195853	20.76121152	36.75423363	3.515077482	0	498.0686535	0	417.7329592	0	1.119929177	657.5868073	2207.887466	0	2870.268154	0	52.79222805	11.35494358	0	0	147.8743194	49.6515384	110.7934129	0	26.81878136	0	1746.238489	217.7812753	0	367.152762	28317.61383	9886.42235	293.9748297	1069.195959	86030.77582	4943.995137	0	0	1232.804256	1436.819716	6148.462864	39.21277438	94189.9029	24471.30939	0	7302.721114	149.7766949	0	18287.34477	1846.545258	250.7490161	1644.181455	11.88535321	4515.273899	14.24417266	148.709468	10.15633403	17428.15911	172.4245967	35.939282	0	0	0	0	1910.598223	1118.193004	65.17455996	7.307604369	0	2.79956512	11943.83367	807.3756041	0	0	2109.62922	236.8424825	0	358.2296521	316.9164714	200.3874268
Alloprevotella_tannerae	0	1221.908618	0	0	43.00026668	0	112.3787579	15.34822639	58.99736906	0	125.1135192	0	0	6039.66793	176.0166602	514.9794353	178.2200002	16.45616957	395.566853	1300.728308	988.0088515	2618.758805	0	20.95112583	0	1832.949402	0	36.026019	87.07412525	1478.538093	482.3894666	681.6594103	4.119422164	0	0	0	319.7278198	123.9398678	0	43.45020536	618.6588402	88.39806562	0	4.436612094	42.64902294	0	794.2456337	0	5.937243949	0	41.76030868	0	0	0	286.9283183	0	623.0256185	0	61.94065949	0	0	0	225.155264	2.453838897	0	0	31.16104338	0	0	0	0	0.327504823	2.040473393	105.8598397	26.95185952	2305.833823	20728.72886	94.35418332	0	0	724.2514987	672.276896	1416.402534	497.8805631	4253.181048	778.4961641	0	31.53626531	21.14405861	0	1734.71532	465.3625497	42.89271246	275.1945963	51.26400191	366.3370674	837.2430108	188.37024	1927.772092	0	964.4649408	25.69728094	0	0	0	0	48.16540325	0.103987131	101.2973574	0	0	23.17769814	138.2468443	203.9417817	0	0.755926034	5.206636336	20.1929461	0	271.3213213	84.6239946	0.021481504
Alloprevotella_uncl	0	834.7122473	0	2.962415562	10.40040651	0	0	0	0.440732394	32.49069704	465.9375099	0	0	738.8083821	73.61803055	1105.784106	111.3876565	365.1074745	1161.366721	3438.670681	914.2896554	2586.077203	346.0306386	12.05671745	532.8989252	2078.624362	44.3250305	145.7247263	1663.50968	1314.133424	1778.167333	1469.059049	0	3.94277743	0.554056322	5.3378377	130.8978675	0.998355866	0	349.8941394	2124.28168	2388.834303	273.0135922	36.77473128	6.616410267	61.89897131	22.04337696	0	3602.269643	0	580.0875015	0	56.26394966	433.1797257	1268.185493	17.03021241	1745.261072	0	522.668383	6.482477621	0	0	153.4436611	0.373384261	0	5.807594847	109.4476601	0	0	194.8627589	0	29.08485388	18245.84958	1980.013513	504.868612	1990.921045	16110.65467	654.1148105	0	0	1374.244856	1205.516889	5437.820479	1154.87241	4490.203985	806.1407222	0	1349.591226	125.3549892	0	8686.805584	1558.99238	283.0874451	929.2439043	7.006115689	1990.09211	1644.556199	408.0059484	585.9880643	10707.56881	1951.173896	236.1996197	0	0	0	0	983.2325376	1702.276554	230.6451385	0	11.84128872	14.17895402	356.103817	493.3812011	0	0	185.2899524	47.97183322	0	337.6627483	245.3690028	1096.093834
Aminicella_lysinilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389131305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.86651889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobiaceae_uncl	0	343.7183669	0	380.643262	7866.284327	0	0	0	0	12.43578373	0	0	0	2216.940762	35.12891871	85.09898379	1237.270002	3.641767118	83.20370784	3279.887719	665.771388	307.1911469	571.0872001	0	1.616354246	2129.439012	0	86.21227075	0	0	2895.552452	1281.232708	0	5.660275175	0	0	295.0515919	0	0	87.00053445	292.7819857	464.9678106	4.255927498	133.0600326	0	0	537.2667582	0	0	0	125.7715199	0	3.099222354	410.1262161	1013.087535	0	37.46265262	0	0	38.36395683	0	0	17.54875161	0	0	0	0	0	0	582.2091953	0	951.6316331	8448.967906	389.9015844	246.4050837	722.0752263	505.092248	3973.405759	0	0	2442.743378	11.91832866	506.5528838	480.7249937	1427.736054	162.9091204	0	358.8645233	293.0255637	0	3933.20851	2903.644308	269.972361	1427.664696	0	158.7918493	14.58524489	245.5498546	0.034836688	1261.562529	45.13714856	467.1796134	0	77.47024132	0	0	4628.648858	1533.641175	0	0	0	44.70356877	46.14192178	0	0	0	23.69911517	101.0618904	0	9368.241606	0	776.5024464
Bacilli_uncl	3093.228011	1513.147348	1123.27358	1281.422115	976.4062143	1895.049999	532.6747739	945.7089403	574.3501681	1265.660605	0	1114.928244	921.7111055	29.48719888	1336.281781	117.1551577	90.83377143	507.575769	580.7365443	56.82207195	399.9216128	55.18149447	74.02024736	1727.918285	279.83618	554.0290958	199.2397304	414.8669087	2109.39798	85.14539083	1136.201086	126.66394	1973.440041	520.2163184	1173.615596	1312.553747	666.8934333	385.1736851	1011.422386	884.8787465	223.4616713	2998.235592	464.0034127	2283.120368	674.7115287	1653.081769	653.8336434	791.4155347	1170.171132	910.9120814	345.9126701	2131.119084	120.7901517	1055.697504	12.3801455	1633.99008	268.5359527	1123.032342	506.8129498	977.7519786	1144.169497	3940.000748	177.4926394	599.9982648	3250.088197	1304.174733	717.8825602	1237.823753	13325.37947	564.781739	0	387.8404834	426.7150525	47.40294911	70.12853399	291.3003365	75.09658641	8.824450196	0	538.3071083	87.47234804	121.2197742	194.7926829	843.016332	19.26409926	396.475641	595.5780913	157.8972718	659.9588367	1028.699551	192.1786628	122.9573987	916.4117304	12.52150376	841.4655345	359.3349792	235.8251707	6.73211539	364.4671597	96.58425545	34.58098942	433.5626331	1151.115143	976.2715143	1027.863255	429.3866574	168.2858031	70.08597197	3148.519453	693.7101998	538.3590273	3.771203685	414.1136201	233.7181502	416.8449656	2013.009341	380.973499	858.9822392	1041.337344	32.43855563	814.8779437	788.5582804
Bacillota_uncl	351.3886017	963.7535269	1398.096787	1904.787986	6127.346546	2502.456035	971.9440954	1503.867321	874.4746964	1442.245906	2092.714595	917.8884207	1317.708875	88.10528271	3329.221534	184.853348	91.64284921	969.5807662	986.1399657	828.4459077	759.1055487	708.8212759	155.4945081	286.5877462	859.3046064	2235.285606	311.1751212	222.8659939	1579.219201	90.23364369	627.7190697	616.4693993	897.5659529	1590.247843	1486.613327	1565.245753	716.6346015	405.9340559	1116.592249	1218.929497	640.8219667	1139.113383	1895.692209	6085.380073	1877.647599	1569.753721	877.4175507	1067.620731	7702.570566	1104.142174	2151.885328	1116.576073	1043.917804	1697.899623	635.398293	12041.20026	876.7152623	2047.653712	1777.803924	1540.283698	1217.981147	1117.416618	747.2012082	1269.082728	14491.44784	1775.84117	1363.02803	2157.883491	699.2383214	1947.593986	10.09059304	1990.686217	459.089973	409.5850718	115.3151989	41.14769949	807.1859762	527.9946829	0	866.0625986	1273.110825	720.1764001	805.3602241	1761.954973	194.669543	1951.806375	1875.25164	1180.678172	1110.268675	1738.197182	419.2514891	162.8352053	1674.116702	257.7253763	1274.922981	1141.786311	1113.629179	833.5827343	292.0846638	1645.69619	371.8126218	149.4874185	1455.383752	1489.203799	865.638697	459.2357843	1742.718248	3136.855256	951.9943522	2166.517831	1078.675045	9.704154632	1064.260287	1760.457431	168.3510492	5695.551363	246.6803248	1825.978571	2290.607983	1927.932247	1525.665709	6424.368929
Bacillus_sp._CN2	708.9685832	1211.71282	3330.153247	6467.757633	6556.427051	3857.302992	10417.12444	9571.386271	2558.224176	62425.26173	1767.129646	1672.596587	3745.648351	64.92782453	314.2417118	356.8723107	48.00159948	65560.88888	52701.45398	598.0104687	1401.710784	988.7695144	1190.597519	726.5035089	858.702959	8522.884374	590.5067188	1097.839291	3296.008385	304.6245434	1110.813612	1921.226933	2346.120971	3171.702714	3028.629585	4044.971151	1654.306981	1171.664068	3240.19083	1846.419348	491.8934006	3424.726126	12784.08426	17537.07703	41521.34928	3988.070782	3558.807099	2886.353469	16675.7684	31183.84983	1693.054714	3753.127568	2004.652501	59340.77587	4918.108294	5166.05653	1870.213439	8951.195074	2238.119859	4593.583002	4921.813635	48483.77483	1402.100228	2071.734771	1207.624291	4001.00847	1998.272881	4931.422541	724.2250127	3458.890346	30.14272622	2726.638354	260.1363635	837.9237765	216.2624052	65.35588582	71.70727744	1.91367789	356.2109196	1497.519804	195.6446854	954.9029848	1192.040987	3315.080699	21.76555154	1670.539378	3120.725256	507.2234683	1826.661899	3392.903058	470.5408073	193.3503537	3137.557086	45.39789335	2750.389665	549.4265967	1039.426433	17.4356184	427.6836553	859.1907426	73.81632271	274.0406372	4753.135687	3525.014851	1713.056539	1312.884163	282.6316535	935.8163547	1968.138472	2761.359494	1838.99358	3.422006733	1990.609603	1496.038485	194.779664	3496.484649	461.1186205	4424.266767	2792.646746	245.1841932	4534.073961	1296.67627
Bacillus_thuringiensis	38091.36223	21202.47247	85257.50431	65865.91307	56213.32373	95784.51749	75339.19599	98977.2003	60604.93764	114257.0604	70824.96769	61418.9302	121614.5352	2998.017785	2015.479306	8024.319448	447.990178	136851.5664	92768.56693	4451.333859	45076.29659	22620.06609	29735.20195	132472.5088	35093.25577	8589.417762	12398.74178	11836.22185	78579.0145	9046.678014	48689.74531	32435.35471	101594.129	102103.6366	100736.1301	122927.479	50883.6469	34111.00335	91162.39143	66379.24407	70634.6845	35387.44931	104744.4087	16367.58042	126617.9378	93868.79512	78181.55393	93668.28426	95137.22883	119612.0303	90946.90729	91437.42652	32573.79563	106924.7251	9107.476704	88484.13491	35824.34324	99956.0369	71134.59824	72212.6355	92125.68699	106096.5529	45877.91217	92995.90817	64658.37028	106303.2502	62699.35556	114608.3585	61470.1851	79490.45947	303820.2279	98642.53031	13555.9612	29701.12633	8045.401978	4530.717704	8126.935661	710.3798136	304085.3697	197826.2182	30031.92157	37579.78614	42755.50499	82217.63696	1782.103595	51634.28739	118071.7195	13995.84941	48212.15762	85201.01288	25015.00783	13189.07433	98674.97301	4076.590247	60465.16971	19141.2942	76474.63568	1267.011552	9899.015884	81241.16598	3778.766547	6891.103601	106962.0436	108592.6583	133083.2941	218673.1762	16744.74161	21591.23131	59549.97883	126847.9368	163102.5944	92.62900721	63965.85852	105835.0023	252448.5796	96659.44739	43557.83214	97645.55105	99701.07796	15294.24289	89686.39262	41747.80733
Bacteroidaceae_uncl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1832.223798	0	0	0	0.8107759	0.934927547	2.955852279	100.5452073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129.291503	0	0	0	7.687793928	0	7.308737876	87.59092409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.915056336	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales_uncl	0	87.37190506	0	107.1708096	22.00006323	0	0	57.42139685	0	95.94834822	15.15770914	0	0	1078.395383	10.32770526	1220.047347	1346.087609	59.34853224	488.4491448	13394.76985	1132.230298	347.2547829	204.6236815	0	697.9952505	562.1145002	90.69450072	204.4123764	312.2985442	757.764942	633.9255614	947.3290643	3.252400184	168.401674	339.0672459	0	354.3029863	0	0	184.1632371	2369.24955	520.8738118	59.45089813	13.25295775	0	0	73.01215552	0	0	0	616.3108093	0	1.127219196	0	1376.698254	0	2052.502447	0	561.0912075	0	0	0	0.612592016	42.22514508	0	0	10.72344635	0	1008.420016	299.599441	0	0	4839.27294	300.6508025	614.3149349	858.3703983	1507.110745	832.1061322	0	0	440.1325927	931.8147073	2189.337417	37.92024236	1232.959809	397.5486059	6.059125816	281.3808823	9.769611439	0	2506.938344	322.264317	83.21846623	973.496538	2.355323115	1508.45046	462.0875803	584.6839808	79.46339562	3353.986402	348.2422179	1260.670023	0	0	0	0	549.768404	1244.748713	119.145508	0	0	65.07888141	547.0225241	0.557177971	0	0	140.1349674	0	0	98.93863534	0	285.0401635
Bacteroides_caecigallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.34046803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.707994448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1029.590406	0	0	0	0	0	4.115000466	21.52474763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_sp._OF04-15BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.18263655	0	6.154032918	16.10387813	0	0	0	0	0	0	4.673716917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_uncl	407.3480315	472.1525885	1346.022604	1451.330998	1306.087648	1152.92955	1934.118429	1079.664169	1307.062214	767.6121128	6262.001445	609.0222117	831.3160365	21.44617825	17.95836676	120.4796465	0	1287.912507	1102.347225	363.3233624	41822.72002	533.2567258	4041.951825	377.3268464	3037.30731	127.4189755	562.8221035	6504.642108	1664.367693	339.3791301	2024.947029	898.4760544	1014.596554	4176.796522	1056.96863	858.6800662	512.8807487	426.815487	575.1970236	1748.622022	7596.070946	863.8270826	4609.388983	58.23012604	2950.298098	868.8321703	710.5252011	1814.949391	1492.200377	427.9391503	5000.496793	633.5805881	711.2004878	1022.405257	267.0089177	719.2025153	549.4506914	786.0513822	4270.672899	991.3028615	1726.274527	1182.34377	1477.03922	1790.377889	1644.892905	1680.186557	2482.116281	1348.966719	1366.989811	1848.33573	0	2646.743133	875.2933735	1536.095164	210.0926389	425.2207901	711.9685321	29.33392212	28.47296634	370.0890582	4762.021246	11561.69924	2564.772298	1809.802494	143.3563281	980.7835129	4648.434588	320.8533941	1490.744666	1679.222028	1527.525961	1160.214516	1008.845904	417.9590515	1252.224539	624.9726203	4307.428546	53.02645773	164.7025685	6868.162392	101.1673954	203.7785045	1175.630883	206.7109211	916.1883887	242.32141	1637.467301	851.6746176	1594.802982	2347.039202	964.9406237	0.343891139	2011.991111	7248.13318	75.88160951	1394.856361	2608.066053	1463.127933	1372.834704	1935.784998	757.8287047	1132.970896
Bacteroides_zoogleoformans	0	0	0	0	10.56380546	0	0	0	0	0	0	0	0	0	0	0	0	0	12.55250107	0	0	0	0	0	0	413.4493819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.4785228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433.195829	0	0	0	0	0	0	0.368172797	0	0	0	0	0	0	0	0	0.395719135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
