	Host	TYPE	Lineage	FD21771986	FD21772039	FD21772049	FD21772050	FD21772081	FD21772084	FD21772128	FD21772138	FD21772173	FD21772179	FD21772189	FD21772250	FD21772261	FD21772292	FD21772298	FD21772311	FD21772337	FD21772347	FD21772351	FD21772426	FD21772472	FD21772488	FD21772517	FD21772578	FD21772584	FD21772699	FD21772702	FD21772752	FD21772778	FD21772795	FD21772802	FD21772808	FD21772813	FD21772863	FD21772908	FD21772910	FD21772934	FD21772937	FD21772947	FD21772976	FD21773016	FD21773025	FD21773037	FD21773044	FD21773059	FD21773063	FD21773095	FD21773104	FD21773106	FD21773116	FD21773158	FD21773174	FD21773200	FD21773221	FD21773259	FD21773306	FD21773313	FD21773335	FD21773336	FD21773348	FD21773352	FD21773362	FD21773369	FD21773436	FD21773511	FD21773537	FD21773545	FD21773589	FD21773609	FD21773630	FD21773644	FD21773651	FD21773653	FD21773669	FD21773675	FD21773737	FD21773746	FD21773752	FD21773765	FD21773775	FD21773783	FD21773800	FD21773803	FD21773819	FD21773823	FD21773832	FD21773840	FD21773841	FD21773846	FD21773847	FD21773869	FD21773873	FD21773312	FD21773956	FD21773958	FD21773965	FD21774021	FD21774041	FD21774042	FD21774045	FD21774064	FD21774113	FD21774123	FD21774168	FD21774233	FD21774281	FD21774318	FD21774370	FD21774401	FD21774415	FD21774444	FD21774445	FD21774681	FD21774468	FD21774498	FD21774517	FD21774522	FD21774523	FD21774524	FD21774545	FD21774611	FD21774628	FD21774642	FD21774674	FD21774695	FD21774702	FD21774708	FD21774709	FD21774719	FD21774746	FD21774760	FD21774779	FD21774818
NODE_1_length_15144_cov_19.325535	species:Veillonella	virulent	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	7.548165896	0	0	0	0	0	0	4.626687296	0	167.6981357	0	0	0	0	0	35.40589353	0	0	0	0	0	0	0.203975202	10.27955406	0	0	0	0	0	0	7.276285232	68.70720869	372.3322013	0	91.53996865	0	0.434870814	0	0	0	0	0	0	0	0	3.206302248	0	0	0	0	0	0	0	11041.69702	0	12.42380298	0	1.532746982	7.732235167	15.05536429	0	0	0	0	0	0	9.174855964	0	0	36.50113639	0	0	1751.272045	0	275.0364275	0	43.37869626	0.964151909	1.054010875	0	0	0	0	0	6.493775755	0	28.00752245	0	0	0	0	12.16513136	0	13.84048033	0.642590317	21.58576903	1464.690054	51.19469686	5.14413539	58.5663265	0	0	0	0	0	0	0	1.309898189	0	0	0	341.7843832	0	53.73000333	341.5734935	0	0	0	0	136.5894855	0	0	5.692264448	4.885477137	0	0	658.8846148	0	406.3235623	7.76236515	34.58766831	0	0
NODE_1_length_15344_cov_46.456995	species:Anoxybacillus	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	50.24698303	0.696088008	198.6346099	40.74880006	83.66952459	107.7975785	198.4221291	4.519032576	288.8254541	29.54198289	35.0349216	0	380.2707522	50.8294005	74.20590738	299.486431	0	163.0439603	54.36193935	389.4592119	108.003421	146.367424	1.157264509	265.2513267	17.0061649	225.6218036	121.8475258	14.33076466	8.17281289	200.4135296	21.454755	1.619951104	78.74092194	31.85542682	0.332609595	198.5112508	24.87963555	1.859037644	0	103.8664143	0	9.37983345	107.7009697	0	83.94108683	22.1189503	0	10.11946431	31.48060769	91.27914899	270.3110241	12.87787802	4433.968809	3.000038717	257.1140725	14.11081444	5.0774616	7.184688187	4.83064776	3.582532263	113.032326	202.3253728	121.5193668	10.03121707	354.1437629	5.362034436	0.429478261	129.0533832	9.104092183	2.4666781	138.5875675	25.7477853	20.32804163	16.6569079	6.873638123	3937.824324	32.77792149	0.517692798	0.37722907	7.633699123	286.7920897	54.87089444	110.0218066	121.7608388	295.0639396	22.299159	52.12170855	30.39841191	85.87084688	21.40256559	47.02228234	1.887339818	0	13.56158125	13.07055356	8.94177729	5.741313029	27.19023058	20.23810835	0	193.5769403	182.3667984	45.39916037	29.74181923	384.2993193	211.4629481	52.885021	0.479995635	96.93868569	214.3395491	85.69452866	15.2820302	1.43507242	15.39376063	89.22516039	4431.180995	8.154612142	305.7548133	201.6463062	5.541754046	176.7540229	19.56415407	44.89288756	0.63123939	83.28040003	291.6808151	52.28545496	27.93728005	33.11926065	6.904703462	15.19101601	84.68034526	219.3974037
NODE_1_length_16720_cov_12.325593	-	virulent	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;order:Crassvirales;family:Suoliviridae;subfamily:Oafivirinae;genus:Bohxovirus"	0	0	0	0	0	0	0	0	0	23.37034677	0	0	0	6.678981819	0	0	0	412.3963213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.0897201	0	0	0	0	0	0	45.25611072	0	7.658933595	0	0	0	0	0	0	0	0	0	6613.047673	0	0	0	12.92041746	749.6447336	0	8.508076563	0	0	0	30.17588922	0	0	0	0	0	0	0.635206817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.7062524	0	0	0	0	0	0	0	0	0	0	0	0	7.448609806	6.859572479	0	0	14.08628668	0	0	0
NODE_1_length_1690_cov_6.199388	species:Propionibacterium	-	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pulverervirus"	0	0	0	0	493.3415753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8678.081094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.5884919	0	0	0	0	0	0	0	0	0	625.9448156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1526.51513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.815760966	0	0	6391.036279	0	0	1122.785522	0	31.16375313	0	0	0	0	120.0421162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456.5206474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_16954_cov_25.635008	species:Staphylococcus	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;subfamily:Azeredovirinae;genus:Dubowvirus"	0	0	0	0	0	0	2133.966933	0	0	0	0	0	0	0	0	0	0	107.6875892	0	0	0	0	0	0	0	0	0	0	16027.26069	0	0	0	0	0	0	0	0	0.551530057	0	0	1827.812781	0	0	0	0	0	19.33047884	0	0	0	0	0	0	0	0	17.00167553	0	2.562799999	0	0	0	314.7467521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.84592976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.024148007	0	0	0	0	0	0	86.74740457	0	0	0	0	0	0	0	5.075283664	150.5040336	0	3.130312179	0	0
NODE_1_length_18644_cov_18.773791	species:Acinetobacter	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	6715.894797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.61261076	0.618440352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.529071986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_1877_cov_10.302415	-	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	0	0	0	0	0	0	0	104.0895573	0	0	0	0	0	0	0	0	0	0	0	0	0.411589103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.21264988	0	0	0	0	0	0	1.327890777	40.97965319	0	0	0	0	0	0	16.44184337	0	0.896284667	0	0	0	0	0	0	0	6.203959832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375.8483602	0	0	0	0	0.30196246	0	0	0	0	0	0	0	0	0	0	9578.540898	0	0	0	0	315.3579218	0	0	0	0	0	0	0	0	0
NODE_1_length_19110_cov_22.807924	species:Enterococcus	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;subfamily:Bronfenbrennervirinae;genus:Peeveelvirus"	0	0	0	0	0	0	289.5050885	0	0	0	0	0	0	17880.17606	0	20.06157942	32.91108412	29.25565995	0	0	0	0	0.080853244	0	0	0	0	0	104.0487598	90.18137935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.101747466	86.99307476	0	0	0	0	0	0	0	0	0.847772445	0	0	0	0	0	18.11305772	0	0	0	0	0	0	0	6.200318783	79.20578773	0	0	0	0	0.301679799	0	0	7.442276956	0	0	0	0	0	0	0	4.934335102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23628.59964	0	0	0	0.47454404	0	0	176.0360314	0	0	0	0	0	0	1.183994806	0	0	0	0	0	0	0	0	0	0	107.3407667	0	0	0	0
NODE_1_length_2263_cov_4.689312	species:Citrobacter	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_23597_cov_21.630320	species:[Eubacterium]	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.97871135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.577128321	0	0	0	0	0	0	0	0	0	0	2.345424405	0	0	0	0	0	0	0	0	0	0	0.495503551	0.293558291	0	0	0	0	0	0	0	0	127.5292408	1833.649504	0	0	0	0	0	0	0	0	0	0	43.88109956	0	0	0	0	0	0	0	0	97.7286148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023706628	0	0	0	0	0	0	8.609250617	0	0	0	1.177359813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
